state,corp_type,emp_size,score,confidence,establishments,employees,avg_salary_thousands
Alabama,c-corp,1000+,44.9,low,68,121985,68.85191621920728
Alabama,c-corp,10-19,40.6,high,4889,66767,48.89108391870235
Alabama,c-corp,100-249,42,medium,975,148052,54.807891821792346
Alabama,c-corp,20-49,40.3,high,3863,114547,51.91887172950841
Alabama,c-corp,250-499,45,medium,330,112471,59.52959429541838
Alabama,c-corp,5-9,41.3,high,6326,42505,50.12118574285378
Alabama,c-corp,50-99,41.6,high,1202,82787,58.4463865099593
Alabama,c-corp,500-999,48.5,medium,124,85217,71.1732283464567
Alabama,c-corp,1-4,38.6,high,9439,19004,68.07493159334877
Alabama,government,1000+,41.8,low,12,38115,66.43452708907255
Alabama,government,10-19,51.2,low,9,104,51.11538461538461
Alabama,government,100-249,42.8,low,8,1366,53.03806734992679
Alabama,government,250-499,40.3,low,9,2713,45.33652782897162
Alabama,government,5-9,45.1,low,48,269,32.89219330855018
Alabama,government,500-999,35.4,low,6,3976,45.14185110663984
Alabama,government,1-4,51.1,medium,115,220,39.92727272727273
Alabama,sole-proprietor,10-19,43.3,medium,770,10171,32.6465440959591
Alabama,sole-proprietor,100-249,40.7,low,32,4904,50.169045676998365
Alabama,sole-proprietor,20-49,39.6,medium,418,12425,29.690382293762575
Alabama,sole-proprietor,250-499,48.1,low,14,4754,68.56289440471183
Alabama,sole-proprietor,5-9,41.5,high,1655,10667,30.7639448767226
Alabama,sole-proprietor,50-99,45.8,low,97,6478,40.92065452300093
Alabama,sole-proprietor,500-999,58.8,low,8,5340,99.61460674157303
Alabama,sole-proprietor,1-4,38.4,high,8146,13320,34.457432432432434
Alabama,nonprofit,1000+,45.7,low,14,27054,69.45919272565979
Alabama,nonprofit,10-19,34.9,high,1074,14469,33.23339553528233
Alabama,nonprofit,100-249,35,medium,136,20544,42.11886682242991
Alabama,nonprofit,20-49,34.3,medium,783,23903,34.42438187675187
Alabama,nonprofit,250-499,35.4,low,18,6076,45.736175115207374
Alabama,nonprofit,5-9,36.6,high,2027,13125,29.468419047619047
Alabama,nonprofit,50-99,36.2,medium,247,16655,36.98925247673371
Alabama,nonprofit,500-999,38.1,low,7,4868,54.02177485620378
Alabama,nonprofit,1-4,36.7,high,5007,9885,33.4168942842691
Alabama,other,10-19,41.4,low,47,612,49.962418300653596
Alabama,other,100-249,63,low,5,788,108.02791878172589
Alabama,other,20-49,34,low,24,642,30.397196261682243
Alabama,other,5-9,46.3,low,60,390,59.37179487179487
Alabama,other,50-99,51,low,17,1193,50.30511316010059
Alabama,other,1-4,36.6,low,68,137,70.1970802919708
Alabama,partnership,1000+,36.3,low,7,17241,58.508265181834
Alabama,partnership,10-19,36.2,high,1920,26364,36.24321043847671
Alabama,partnership,100-249,42.9,medium,215,32357,53.04546156936675
Alabama,partnership,20-49,36.7,high,1545,47343,37.44927444395159
Alabama,partnership,250-499,39,low,51,16907,49.18850180398651
Alabama,partnership,5-9,38.3,high,2306,15283,40.867303539880915
Alabama,partnership,50-99,39.9,medium,538,36066,40.945904730216824
Alabama,partnership,500-999,40.7,low,27,18199,51.12138029562064
Alabama,partnership,1-4,32,high,6738,11736,52.27709611451943
Alabama,s-corp,1000+,43.2,low,11,19427,54.00319143460133
Alabama,s-corp,10-19,41.4,high,5895,78943,46.17260555084048
Alabama,s-corp,100-249,53.1,medium,411,61794,58.28745509272745
Alabama,s-corp,20-49,41.7,high,3818,113810,46.434083120991126
Alabama,s-corp,250-499,53.8,low,94,32631,58.93852471576108
Alabama,s-corp,5-9,40,high,8760,58129,43.768428839305685
Alabama,s-corp,50-99,47,high,1034,70282,49.87718050140861
Alabama,s-corp,500-999,53.1,low,42,27965,60.296334704094406
Alabama,s-corp,1-4,32.6,high,23556,41282,51.49462235356814
Alaska,c-corp,1000+,41.4,low,5,8154,90.94370860927152
Alaska,c-corp,10-19,42.3,medium,721,9835,71.22775800711744
Alaska,c-corp,100-249,44.1,medium,135,20867,73.79747927349403
Alaska,c-corp,20-49,44,medium,484,14414,77.05695851255723
Alaska,c-corp,250-499,51.2,low,50,16520,90.55629539951573
Alaska,c-corp,5-9,41.5,medium,897,6090,72.1072249589491
Alaska,c-corp,50-99,47.4,medium,193,13663,81.91568469589402
Alaska,c-corp,500-999,47.1,low,24,15204,85.1835043409629
Alaska,c-corp,1-4,42.7,high,1777,3265,90.39785604900459
Alaska,government,5-9,31.9,low,3,21,31.714285714285715
Alaska,sole-proprietor,10-19,51.4,medium,161,2187,51.76543209876543
Alaska,sole-proprietor,100-249,30.5,low,3,429,47.55244755244755
Alaska,sole-proprietor,20-49,49.1,low,58,1640,54.44024390243902
Alaska,sole-proprietor,5-9,40.9,medium,429,2752,36.95893895348837
Alaska,sole-proprietor,50-99,48.5,low,13,906,59.83774834437086
Alaska,sole-proprietor,1-4,37.5,high,2452,3360,43.51845238095238
Alaska,nonprofit,1000+,58.4,low,3,5425,105.58967741935484
Alaska,nonprofit,10-19,36,medium,289,3916,46.07711950970378
Alaska,nonprofit,100-249,41,low,26,3805,57.91484888304862
Alaska,nonprofit,20-49,38.7,medium,205,6167,52.66401816118048
Alaska,nonprofit,250-499,61.4,low,8,2654,102.47550866616427
Alaska,nonprofit,5-9,37.7,medium,452,3032,47.04287598944591
Alaska,nonprofit,50-99,43.6,low,60,4191,59.28083989501312
Alaska,nonprofit,500-999,50,low,4,2665,91.98836772983114
Alaska,nonprofit,1-4,37.2,high,1187,2259,50.36122177954847
Alaska,other,10-19,42.3,low,3,44,102.56818181818181
Alaska,other,20-49,32.6,low,3,79,44.91139240506329
Alaska,other,50-99,43.4,low,3,207,60.47826086956522
Alaska,other,1-4,29.3,low,12,22,30.454545454545453
Alaska,partnership,10-19,37.4,medium,337,4543,52.50143077261721
Alaska,partnership,100-249,43.4,low,16,2272,84.11883802816901
Alaska,partnership,20-49,36.9,medium,217,6499,52.71287890444684
Alaska,partnership,250-499,29.3,low,3,1088,49.55882352941177
Alaska,partnership,5-9,36.9,medium,491,3268,53.07282741738066
Alaska,partnership,50-99,45.5,low,60,3998,62.79539769884943
Alaska,partnership,1-4,37.5,high,1783,2523,83.87911216805391
Alaska,s-corp,10-19,43.6,high,1220,16274,58.74831018802999
Alaska,s-corp,100-249,49,low,49,7104,61.702421171171174
Alaska,s-corp,20-49,42.6,medium,614,17768,56.40162089149032
Alaska,s-corp,5-9,43.9,high,1867,12408,56.790457769181174
Alaska,s-corp,50-99,43.3,medium,137,9299,54.4945693085278
Alaska,s-corp,1-4,38.4,high,5605,8224,77.48090953307393
Arizona,c-corp,1000+,51.7,medium,130,296376,80.39118552109483
Arizona,c-corp,10-19,45.5,high,6047,83133,56.173192354420024
Arizona,c-corp,100-249,47.5,high,1471,221959,61.966755121441345
Arizona,c-corp,20-49,44.3,high,5335,159399,55.602205785481715
Arizona,c-corp,250-499,51.3,medium,492,169003,68.16716271308793
